title_y,overview,genres,keywords,tagline,cast,crew,production_companies,production_countries,spoken_languages,original_language,original_title,release_date,runtime,vote_average,vote_count,popularity
Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 1463, ""name"": ""culture clash""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3801, ""name"": ""space travel""}]",Enter the World of Pandora.,"[{""cast_id"": 242, ""character"": ""Jake Sully"", ""name"": ""Sam Worthington""}, {""cast_id"": 3, ""character"": ""Neytiri"", ""name"": ""Zoe Saldana""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""James Cameron""}]","[{""name"": ""20th Century Fox""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Avatar,2009-12-18,162,7.2,11800,150.437577
The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 949, ""name"": ""terrorist""}]",Why So Serious?,"[{""cast_id"": 2, ""character"": ""Bruce Wayne / Batman"", ""name"": ""Christian Bale""}, {""cast_id"": 3, ""character"": ""Joker"", ""name"": ""Heath Ledger""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Christopher Nolan""}]","[{""name"": ""Warner Bros.""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,The Dark Knight,2008-07-18,152,8.3,12269,123.167259
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: 'inception', the implantation of another person's idea into a target's subconscious.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]","[{""id"": 2343, ""name"": ""man versus machine""}, {""id"": 3498, ""name"": ""heist""}, {""id"": 5774, ""name"": ""dream""}]",Your mind is the scene of the crime.,"[{""cast_id"": 1, ""character"": ""Cobb"", ""name"": ""Leonardo DiCaprio""}, {""cast_id"": 2, ""character"": ""Arthur"", ""name"": ""Tom Hardy""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Christopher Nolan""}]","[{""name"": ""Warner Bros.""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Inception,2010-07-16,148,8.1,14075,29.108149
Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","[{""id"": 594, ""name"": ""drug dealer""}, {""id"": 656, ""name"": ""boxer""}, {""id"": 1646, ""name"": ""briefcase""}]",Girls like me don't make invitations like this to just anyone.,"[{""cast_id"": 4, ""character"": ""Vincent Vega"", ""name"": ""John Travolta""}, {""cast_id"": 5, ""character"": ""Jules Winnfield"", ""name"": ""Samuel L. Jackson""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Quentin Tarantino""}]","[{""name"": ""Miramax Films""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Pulp Fiction,1994-10-14,154,8.3,8670,140.950236
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 6270, ""name"": ""vietnam veteran""}, {""id"": 719, ""name"": ""mentally disabled""}, {""id"": 4344, ""name"": ""friendship""}]",The world will never be the same once you've seen it through the eyes of Forrest Gump.,"[{""cast_id"": 1, ""character"": ""Forrest Gump"", ""name"": ""Tom Hanks""}, {""cast_id"": 2, ""character"": ""Jenny Curran"", ""name"": ""Robin Wright""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Robert Zemeckis""}]","[{""name"": ""Paramount Pictures""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Forrest Gump,1994-07-06,142,8.2,8147,48.307194
The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 532, ""name"": ""hacker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4565, ""name"": ""artificial intelligence""}]",The fight for the future begins.,"[{""cast_id"": 1, ""character"": ""Neo"", ""name"": ""Keanu Reeves""}, {""cast_id"": 2, ""character"": ""Morpheus"", ""name"": ""Laurence Fishburne""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Lana Wachowski""}, {""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Lilly Wachowski""}]","[{""name"": ""Warner Bros.""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,The Matrix,1999-03-30,136,7.9,9847,41.296446
The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 2366, ""name"": ""prison""}, {""id"": 6152, ""name"": ""friendship""}]",Fear can hold you prisoner. Hope can set you free.,"[{""cast_id"": 1, ""character"": ""Andy Dufresne"", ""name"": ""Tim Robbins""}, {""cast_id"": 2, ""character"": ""Ellis Boyd 'Red' Redding"", ""name"": ""Morgan Freeman""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Frank Darabont""}]","[{""name"": ""Columbia Pictures""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,The Shawshank Redemption,1994-09-23,142,8.5,8358,51.645403
Goodfellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 1365, ""name"": ""gangster""}, {""id"": 10683, ""name"": ""brooklyn""}]",Three Decades of Life in the Mafia.,"[{""cast_id"": 1, ""character"": ""Henry Hill"", ""name"": ""Ray Liotta""}, {""cast_id"": 2, ""character"": ""Jimmy Conway"", ""name"": ""Robert De Niro""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Martin Scorsese""}]","[{""name"": ""Warner Bros.""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Goodfellas,1990-09-19,146,8.2,5893,15.602056
Schindler's List,"The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 2503, ""name"": ""nazi""}, {""id"": 3205, ""name"": ""world war ii""}]",Whoever saves one life, saves the world entire.,"[{""cast_id"": 1, ""character"": ""Oskar Schindler"", ""name"": ""Liam Neeson""}, {""cast_id"": 2, ""character"": ""Itzhak Stern"", ""name"": ""Ben Kingsley""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""Steven Spielberg""}]","[{""name"": ""Universal Pictures""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Schindler's List,1993-11-30,195,8.3,4329,22.883877
Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 5565, ""name"": ""dual identity""}, {""id"": 12279, ""name"": ""insomnia""}]",How much can you know about yourself if you've never been in a fight?,"[{""cast_id"": 1, ""character"": ""The Narrator"", ""name"": ""Edward Norton""}, {""cast_id"": 2, ""character"": ""Tyler Durden"", ""name"": ""Brad Pitt""}]","[{""department"": ""Directing"", ""job"": ""Director"", ""name"": ""David Fincher""}]","[{""name"": ""20th Century Fox""}]","[{""name"": ""United States of America""}]","[{""name"": ""English""}]",en,Fight Club,1999-10-15,139,8.3,9678,0.256541
